T,P,L,F
623,3,34.635,MicroPore
623,6,46.058,MicroPore
623,10,54.457,MicroPore
623,30,68.979,MicroPore
623,50,73.459,MicroPore
623,80,76.899,MicroPore
623,120,77.824,MicroPore
623,150,81.596,MicroPore
623,220,80.026,MicroPore
623,290,82.902,MicroPore
623,360,84.332,MicroPore
623,430,83.765,MicroPore
623,500,83.236,MicroPore
673,3,15.834,MicroPore
673,6,25.62,MicroPore
673,10,33.98,MicroPore
673,30,48.431,MicroPore
673,50,58.615,MicroPore
673,80,63.116,MicroPore
673,120,67.06,MicroPore
673,150,70.549,MicroPore
673,220,74.823,MicroPore
673,290,75.899,MicroPore
673,360,77.192,MicroPore
673,430,80.877,MicroPore
673,500,79.336,MicroPore
723,3,6.415,MicroPore
723,6,11.264,MicroPore
723,10,16.833,MicroPore
723,30,32.158,MicroPore
723,50,39.547,MicroPore
723,80,48.82,MicroPore
723,120,53.606,MicroPore
723,150,55.318,MicroPore
723,220,62.719,MicroPore
723,290,65.568,MicroPore
723,360,65.943,MicroPore
723,430,69.922,MicroPore
723,500,69.202,MicroPore
773,3,2.644,MicroPore
773,6,5.258,MicroPore
773,10,8.036,MicroPore
773,30,19.493,MicroPore
773,50,25.56,MicroPore
773,80,33.402,MicroPore
773,120,39.009,MicroPore
773,150,42.341,MicroPore
773,220,46.967,MicroPore
773,290,51.494,MicroPore
773,360,54.086,MicroPore
773,430,55.086,MicroPore
773,500,56.95,MicroPore
