Time,MSD
0,0
5,4.4828984
10,6.13812337
15,7.43241414
20,8.73788327
25,9.82819288
30,10.8717267
35,11.74569616
40,12.64787926
45,13.52136051
50,14.51093481
55,15.49122615
60,16.3336481
65,17.09013035
70,17.86634603
75,18.67583056
80,19.32054951
85,20.11567203
90,20.91678027
95,21.76800051
100,22.63330347
105,23.5244994
110,24.57974096
115,25.44104293
120,26.44650127
125,27.3382409
130,28.31086996
135,29.16962835
140,29.94552273
145,30.7039018
150,31.48049045
155,32.20024878
160,32.90474552
165,33.79579528
170,34.6334728
175,35.57679902
180,36.41099806
185,37.35317563
190,38.26749563
195,39.06579339
200,39.87393429
205,40.83310158
210,41.52799411
215,42.48482063
220,43.70839045
225,44.67146035
230,45.6448707
235,46.43907703
240,46.96402686
245,47.63376857
250,48.26559153
255,49.11730052
260,49.83230979
265,50.54733225
270,51.16663984
275,51.79866918
280,52.62174151
285,53.31377917
290,53.65664952
295,54.10317195
300,54.40281756
305,55.0878108
310,55.64131885
315,56.50899771
320,57.53519917
325,58.32738208
330,59.6718069
335,60.7185892
340,61.30739613
345,62.19758937
350,63.18905269
355,64.29680469
360,64.40295828
365,64.28917507
370,64.75515304
375,65.60117203
380,65.78147147
385,67.05603623
390,68.60840744
395,71.39371885
